method,seed,outer_domain,inner_domain,pca_dimension,mae,fit_domains_json,fit_sample_count,query_sample_count,pca_state_sha256,ridge_state_sha256,state_sha256
original,0,74t7kcdgkr,cgtnjyggtm,32,0.13171016664123011,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",182,49,f1b216bdf9a05dd880b2f192e21037e28950f6c008c59e50ad60c40243fed6ce,7124b49df7066b685a470e4edbba186c949ff1c90182b6f4b6bf76b126295102,610af76f4c2bd2475a2f82837daf854e2973ca54c77ff2a19981af639927cdac
original,0,74t7kcdgkr,w68dtmpfyf,32,0.10781618000375945,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",188,43,2409eb4497fb9a0881fded86ce30b856293cefc354375228660da4c9fa38b100,4db626a80c3df12b3f2bcdc8c2d1e539b6d6b14081949d0a84e55de4169a630e,0afe741bc81f896f17ac2b061be09cbbf054023a807b4625e13b77a4c729722e
original,0,74t7kcdgkr,xcmzfsbd9t,32,0.15189278460334268,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",172,59,42e40a21e0923d1bb34183a16523cf86e8fb6fe4c9cd7c19ed3f248aeed21939,10189db9b1d142c515e18309bce74eb7363d835858d35b018dc98e9b5b32a6fc,47209e24f309c9a3d942326917e8f7ea4f74073a56bd9b17c3137104ebe7fd6f
original,0,74t7kcdgkr,yfxyg8jm46,32,0.14165342957648439,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",189,42,20c1da97d1823a4dba629b6d1329450e4437eb6f91986d31f0f6a66daa4417a0,8bf17754e63690973958cee6002f656224d77948afa4fe8b42ab3a1b817c68c6,424558edbbe40d3170fb88e4f03cad242532990274d186902bd511acad6e9043
original,0,74t7kcdgkr,ykhs7s2dck,32,0.34127083535741704,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",193,38,e39c5ae0bb9565411c7155740b28de4c050e2d870c375e3ee7a45f35bec9aff7,b78b8c028e7a8955ebfa8b97999e295ca83534fcc022bc78516c94d494ff65b8,5049b62a02d7aeddb3300d8e078734e6d64da14cf37a0048bc2474a12696c71c
original,0,cgtnjyggtm,74t7kcdgkr,8,0.11682388826323441,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",182,45,bb83b766d825ad3a2cb8ac8f5fbe27e08490fdfa8e18ebc0de73333dffe62d91,baa2e2a55333ababd738c7a7b34338055df554fabd178c156d31d3d6f6f22566,93cf9e0172a2f57b94b48e806ac1c7916a66bcc0ef7d31e85c1c585d1d8cdab7
original,0,cgtnjyggtm,w68dtmpfyf,8,0.10781601504096677,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",184,43,960ed3a3d692fca1062386f5d96f13ef24208fb7e0c8ee04ab133dd15f5760df,70802186e3f349a09d82f29270b65cd61aa795af1713266805ac3af3e4864af7,316c416f699f1a632f7904d20dde4e25c87486725bec98886f87b84ab5c9ee1c
original,0,cgtnjyggtm,xcmzfsbd9t,8,0.10374450773118944,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",168,59,a804e870bce5af00140ada7629c41b3c8e52697bb1305395d3c2faac2b6c4a1d,0b361317b7b2efbc8c25c419d5e43c6ed7a17dd529e8a9bf4dbda877abe5824b,056c3266375b3ad36b692b515f8e1ac79fa57c715ec298bb8e137e7184bad9fc
original,0,cgtnjyggtm,yfxyg8jm46,8,0.14086576928267622,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",185,42,6c35e39ff3a2a1ef7c494a46656d6e187f86ed48cf76f31be105ab6285f71df2,2384c7e3e7472fdf85aceb6be6b4b8f813681d4c57b2b3284223b5f0c293f6e0,88b76a81017750aea2a0745b8c7d6788ce20e089e9615176908a8fd6c65c38de
original,0,cgtnjyggtm,ykhs7s2dck,8,0.32089125257624235,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",189,38,1442b2346bddb56082a36346b5c8e13f672dd42c326f5adf574f9e005faea25e,570213bf6e73cacc7616f4727c2f73165ee2b185761932c9b36a7ef137ea15c5,8935fe5745f47251aabbc998ba97f8c1e201a920d084c042852b3a681d82e9d3
original,0,cgtnjyggtm,74t7kcdgkr,16,0.09116103333614599,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",182,45,f43dce950ba5669ec594e4d5221c3ca2148ca0f87ae9c1ef1250e78fde5f03ca,0a65a589ea515e098a6b70e5bac9eea7d7024bbedb2c0168131bf04f0d38c9fa,da301c25ed081726a94b34ebf0f2cec9385add1ba75bfbdfedc1d8ed45069c4c
original,0,cgtnjyggtm,w68dtmpfyf,16,0.12023491652265691,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",184,43,fe50c30169e9cf3cda1574747d777c5247d542556cfbdcfd72e2331bbaed8b92,fd1496a75a5d197f6957e51466405c74759e5b19703de70e4503e7dee4dbf213,0510fa1b0f0e78b6a72c0aae11ad796618e8d1f3b58d399e745121ead5851247
original,0,cgtnjyggtm,xcmzfsbd9t,16,0.09043150126451807,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",168,59,1365d69259d1a00f6c8d8612033a5901b4261ba583dc78b8d4cf80e72e27db1f,95c56fe996c35933ab77a028c02106ca860adabd26edf5f9c209160725cf0866,ec9a4c3823ecc59dcf8eb967c03a73f55f56aaeed70b63be058fc95141050c11
original,0,cgtnjyggtm,yfxyg8jm46,16,0.1411710786183757,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",185,42,8f71050f7ef877ddc17b84c8a4db5d0213a16478fdb9f2c2200585a64c2ece95,cde75dde20bd017941b68a000af5eb64214619c54da48b93ebb49c89ce216880,078547d96bb25de376a6679e8478a07409c3033b7188c45d445a8d9464a0d99f
original,0,cgtnjyggtm,ykhs7s2dck,16,0.29690660555178955,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",189,38,d6f97f3f521ebd575aca78d16f764c5c9c57337853670b5ccd958b2c48365242,db9ed112f4c5c1d8cd0cc4614de57e668e6a8390b67569d3070f7e6b99e76a2e,83a7e4bf4de266546aaf7b16c073128206f191eeedd9f8e7eff0cd1a08060eb9
original,0,cgtnjyggtm,74t7kcdgkr,32,0.07930262933415928,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",182,45,ebb7ac9968670ecdc2fe83a8d34e08d234ea9a878897009b9213e2eabda3fc68,7124b49df7066b685a470e4edbba186c949ff1c90182b6f4b6bf76b126295102,236a5a4a75b634f9657e6520331744252388ad1024559f0de09c0e07caaf86dd
original,0,cgtnjyggtm,w68dtmpfyf,32,0.11355270703669183,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",184,43,c28ec749c9bcb854ed20d7299413aac4edcff98dac8c5b20ae436d0d4e7bfe7b,211e76020e088c2a4cc5f4227682e7c29fbe9677a20c3540472f3d50505e2774,5c3987a861da12f70825c191a3e43b106681e61257cc8a8b26f05c9e3cfa3ac8
original,0,cgtnjyggtm,xcmzfsbd9t,32,0.07879917596470062,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",168,59,be3b2a40cd7fbb848e32e73116906e83181ba6cb33502fc5584f56a4517dae49,904f777e58f08e77260eba22d27ea63bdd91464a3816a126ea3874aafaf0f5b0,48d30329c42fba780f92071dd3ff1c184c404581db0c70e38ffa7365eb2dadf7
original,0,cgtnjyggtm,yfxyg8jm46,32,0.13395294477243266,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",185,42,732e912bda6fe730ac8540fb22df8e1e83aea138328ae6d7befc9de6e76ad4ed,24ff103adbae22767170e6736bfdfca8669ab2c79e8993608fd2ca0655751bd0,8491adbb7c6076b5b1f2cf0e383f88410674bbb63051f0cd055f6463b5ea4473
original,0,cgtnjyggtm,ykhs7s2dck,32,0.2575435447773109,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",189,38,ce01c34522af09b40b51dd3bf67fec8b84076ef00e634a03d3ba4578137023d0,8e2b593bd44896c3f951d04fd04a87ac9d921efd4b2fb07bfb87e7e9221f2e84,e5f61889b384c57fe21bbf6624f8567d32ca82ea1b99b7a5e4eab418339edf99
original,0,w68dtmpfyf,74t7kcdgkr,8,0.07771761114485772,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",188,45,57043c81f2f7def97051a63449added90cbfe37ab8db5fdfeaf3533d2b39d664,537f4743eeac42f834a9dd2a94debf6ef36a424aa208a5659f68c66e5f88c04c,c0d669aaf057d7dd7f5fbd0d07c729411127061018f405ca9aa26131e303dbf9
original,0,w68dtmpfyf,cgtnjyggtm,8,0.13201324338095233,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",184,49,d001d859b65ef09f5dab13df49835db4cf053cb57f46e54c70a319c5a6657af5,70802186e3f349a09d82f29270b65cd61aa795af1713266805ac3af3e4864af7,01b6be7ddfec238171f7cd200ca1bf7ff0c910511702c635a60c76887c162e74
original,0,w68dtmpfyf,xcmzfsbd9t,8,0.06448611488614109,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",174,59,c7933d817793c84395e3d7c17d02f34632936a1c1a3dc21d0b914b338dd3c76c,ff0f0c3e9bf08a1ec44ea19c59013bc8e4a41f6e2f2a56e2bc7e59a31f5615ec,cad7dda7375a1b36b7e91b2650fbd99f12da38eea860a47361316ef3ea14756f
original,0,w68dtmpfyf,yfxyg8jm46,8,0.11558106740304447,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""ykhs7s2dck""]",191,42,c258af146d79ab8f6c9033d21ff5f1148261e4bc165fad192dc20095b8b332d3,c34cd9f5448c22713c49bb675c717d63383a967ed8a21fe9aae4cce22b9a840a,c502394cec8d714e8211bd11dcc156c2fedb7a53d778db1f39efab18edb34f95
original,0,w68dtmpfyf,ykhs7s2dck,8,0.18431587121070683,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46""]",195,38,1889a07f82e9778f8cecd73b96840424bb47ba8224f9e0fbcce06855ba6453be,927c25c193875915c00391584fac5e64eca2a803470716307bcca774d3a854c7,d2257f0ad225a6559bc3361f400d7a6056857e836f9035e2e1698ba99e6ce110
original,0,w68dtmpfyf,74t7kcdgkr,16,0.06612088045351733,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",188,45,e7b2d415d5df2d74d03fa638e2eabbf14db6cfaffb13b83fcafec0b30e3ae0a1,41a37cb2f69a8937d51c5b0097af2392e9c891891d18f980af43cb5eee44f6e8,b4e35a1031ef2ea95dd4400c35451994b1ef4c9d61527d405f1ca21a86b16a2a
original,0,w68dtmpfyf,cgtnjyggtm,16,0.14470514215527094,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",184,49,043c82ee1e61379d768482d5d37be0d346c44e9911ed85b1c726f08f20a812e6,fd1496a75a5d197f6957e51466405c74759e5b19703de70e4503e7dee4dbf213,40832d426df2c4554a0eadab6673641445dae7e8e695e6a06d9630ce416214cc
original,0,w68dtmpfyf,xcmzfsbd9t,16,0.08191032708473968,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",174,59,6a9dfd4d73da010b263c7b2bb08b20929569d7eaa6dc4ae42a6edd7c8ba4caca,92f232388cd5e3101221458970a5818017b2235d00b1a015f77079f53f5d01e6,5b064760f7a9279f7b8bff5d079c2483379591e8485e3b77606638d1514eb909
original,0,w68dtmpfyf,yfxyg8jm46,16,0.1231481724057653,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""ykhs7s2dck""]",191,42,f49ef695ef0ccf3ff6fc6b5b20ccba24a7b65911b680ca2773a6a4d2fa88f49c,6d86dc5e5be593e154ec2f6cdbcf3e57dc9b9940fbcf093a274902924c4326cb,547d9301a68f80fe7a170cce05bf2d1f6a0fc1f7700eb3ea14a11bb444a2e440
original,0,w68dtmpfyf,ykhs7s2dck,16,0.22421327334726512,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46""]",195,38,b52150a43050f5134515eeba08916947b7d8d11151a12b5d8741a7916e44eb91,0a08622a4916eb5d34b336bf545e46b75d4f513da1c7676fbb773f12d975a709,42b7fa6407e5977f35dde11c73fee185af7763477ae981548ebf848495f4e5a6
original,0,w68dtmpfyf,74t7kcdgkr,32,0.07792195355385297,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",188,45,946488d010c3ce111a6828af1105d48786c5cbcca010da0594d4d9770170e292,4db626a80c3df12b3f2bcdc8c2d1e539b6d6b14081949d0a84e55de4169a630e,111ac772075d97ce28ecd655b00d5aa60e984f964636c5925b11afab2e160f04
original,0,w68dtmpfyf,cgtnjyggtm,32,0.146893104138597,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",184,49,8da792e1d75c36824a53b0dd3419bfb38fdd6d43cf9620f430026f69667c2922,211e76020e088c2a4cc5f4227682e7c29fbe9677a20c3540472f3d50505e2774,b72b6eb1fe5f27cfa4fd41ab23e9f00b6c4d9faedb5b8eee5a60a014fde971b4
original,0,w68dtmpfyf,xcmzfsbd9t,32,0.08454310313738926,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",174,59,e70500eaaf00ac5bc2e17e1b2b439e7cd83c3be315cbf6b64e9c68d6c89ad9e6,6ea2528d67b9c250587c25d1e0658f1ae9d7b566c1e4a1bed05c41466a474166,3b310d61ec5cb618ed2d0fb9d0841cdb1ad95332fd1fd4c9b9e376829cd22889
original,0,w68dtmpfyf,yfxyg8jm46,32,0.12653205300875067,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""ykhs7s2dck""]",191,42,ec3a2188209fb5b3b87aae47290ef12c7571d546974305cbb6bee2843033cc8b,fa68d937e764b350c60be9fa48bfd224050a264ccf6e1ba68a63cd6b1e06b77a,e64e751ba955b2a170abcf8fe95f192b45fb3511e92391a2b1ec688ebb758af3
original,0,w68dtmpfyf,ykhs7s2dck,32,0.21762911723893558,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46""]",195,38,31dac0cd302355bb4cf651155854a80d120844f7fa30d19cdc4484bad0628a51,09311976c592bc5d69daf258625c824083ac1a136d439917c89c614b86be6c6b,ebf570d9009a9d1d2ab8bbcb17854530cf484c787072d629b36b78039e2e4cbd
original,0,xcmzfsbd9t,74t7kcdgkr,8,0.11054171483988423,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",172,45,7d8e6824b238016e4c2f877c1bf86ffed58e2d4c203c1eed82e2e56b71325e48,f99508a555a057b657f8ff84a76962721b38d2d7a2116c02f260923ce4096c3c,8fda586f4322fbe11ae9f1732eb7fd67e4f579770c8fc8ecfeaf62426963a7fc
original,0,xcmzfsbd9t,cgtnjyggtm,8,0.12271165689089876,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",168,49,6262f3fa1c33240b10faebad467d83b49d0d811c22abec73a00aeca5e980cedb,0b361317b7b2efbc8c25c419d5e43c6ed7a17dd529e8a9bf4dbda877abe5824b,4795cc5fa7463a4cc5c64c7513c43aa9718af13f8efb5ea6649b006513c88dcf
original,0,xcmzfsbd9t,w68dtmpfyf,8,0.10486141800244547,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",174,43,912e5f1dac8cdabb77e591a269fdd0b6306a2d12136fc55793518933ce0bd098,ff0f0c3e9bf08a1ec44ea19c59013bc8e4a41f6e2f2a56e2bc7e59a31f5615ec,8b8d476db11a1af7994413c1708d8f9ffe3edf5d9c727616ea33487c9754b55a
original,0,xcmzfsbd9t,yfxyg8jm46,8,0.14913835636548456,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""ykhs7s2dck""]",175,42,62f9ccc2ce3c6effede7c6aa42d92688243cd8e707b8943c369b2172cd92b686,5312dacce2d548d56b4004c99e2cc175c653fb0f2831b435b8cdc076dca664bf,7bd2c808b6ce7d4e67e8489fa1c58614817132a7579d9e8d04bbfbdf981db271
original,0,xcmzfsbd9t,ykhs7s2dck,8,0.2772103023458906,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46""]",179,38,b866d23d3da1224302e61054aedf314040cca7db3d0eada7feea3063fc34ef51,48e48d90ddb0d4d189ff6b17e7be4f1c5359092ace29c444206072a1c1ba2504,0bc2678e2afdbcb7735e195ffcac7cae753ae3095a34b2f04a6e800b32da99cc
original,0,xcmzfsbd9t,74t7kcdgkr,16,0.09432620009366192,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",172,45,27bd08fc3aead3065a58892fe3cfda4fa1f8865424bbc490df4907de7ea9b1ad,e648bdb014db64e7e733578c212056a2fdd80c1c4fbbf83ab2938d0071f46ce4,f34eba5be783cf1e9712f27d60ab129b13f5ed1a2561edb6051c710ccf0858d8
original,0,xcmzfsbd9t,cgtnjyggtm,16,0.12502257986476967,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",168,49,d8ed03686975db1c326bddbacb5bf802b1f4422035e1362fa18f21a2aba7c022,95c56fe996c35933ab77a028c02106ca860adabd26edf5f9c209160725cf0866,d03a2675ad6f0f1690f533102dae5cfa85bf6a8d243881c2880b60a3c4ee06ff
original,0,xcmzfsbd9t,w68dtmpfyf,16,0.10359682694687232,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",174,43,b32c7fbd9b6e62f35dd940ea5d31ea91cb66fb949756e2c063e8732bbb108616,92f232388cd5e3101221458970a5818017b2235d00b1a015f77079f53f5d01e6,7ab02ca75034a3580704bf992860f5b03d64b63b0e8a9d6b3e72027457e34212
original,0,xcmzfsbd9t,yfxyg8jm46,16,0.1633969523556162,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""ykhs7s2dck""]",175,42,7be317dff9ba4cc96c3d930bdb1089b3914e423b1e2ae4e3eb3fd2dcf0a72b1a,57d98fe93c1cdc4589e65dfcb9d077eb30c2c8558f9e85c9684d7d39996582b5,a179c6458792db0b5ac08582f059d54f3bc5e57948d22f693e965be543446541
original,0,xcmzfsbd9t,ykhs7s2dck,16,0.22656084997653317,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46""]",179,38,af263521f9001e76f6d2757e89d8c26dca32b73e67414db87f1ae43c9d688c2c,34e074c682ab1a16835b41165dcb82e2e7860eb8368e584d53e2cf2ca9e7dfe4,af52c4cc9583cd874dee1210e24de9b6c85d2ba2962fcd5e453e3501360a7902
original,0,xcmzfsbd9t,74t7kcdgkr,32,0.0776465433374461,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",172,45,ff0c0efb45632897ae4f0b6fcf3fb8f8bf0b6e1889acabb25f5bc45ce9abd629,10189db9b1d142c515e18309bce74eb7363d835858d35b018dc98e9b5b32a6fc,18f4af16016c7e1694f04a52b6df260be00a754779d9204c3c9612efe40c5f93
original,0,xcmzfsbd9t,cgtnjyggtm,32,0.14614969963797966,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",168,49,d9c39959d241eb88345cf38e8c81997778e22f197737b8653505c84793c57843,904f777e58f08e77260eba22d27ea63bdd91464a3816a126ea3874aafaf0f5b0,04c2a3455ebf0b720fcc214b4e7a9cfc332664a3af76c405e8a0a1b780c1e31c
original,0,xcmzfsbd9t,w68dtmpfyf,32,0.10057289931318181,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",174,43,e58e0ddbc159bbdf9e214c42fa370c9092ae333b1105a8fc9e5156b2a161d043,6ea2528d67b9c250587c25d1e0658f1ae9d7b566c1e4a1bed05c41466a474166,30540ffccf75696a977aa4b552302780e8bacacbb7618ecbcdb23b286084873e
original,0,xcmzfsbd9t,yfxyg8jm46,32,0.16950249652122676,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""ykhs7s2dck""]",175,42,55afdb8b16a72390e3f1288042703df17e4412d3bcfc22d52b581c5d99d19de9,0902cd91966ec7af334a4f65cb71e5326b69890ae5affe7e591c8063e5d68cd1,ac1cce3b3e6c322ef2bc1b2bdef74595386684cfe2cfe278c93b1dfe8778ff61
original,0,xcmzfsbd9t,ykhs7s2dck,32,0.17576344457412946,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46""]",179,38,0c65bda35cab4b34d6472a9d0fa677bba0419091f5553b66302383032924b661,5356d3d1269f11fb2ea7498346b732ec6364093e04f109192bca13e4261da278,027c31909842d7712416904192fb0d23c288b9b95128359f763b2e71463fd182
original,0,yfxyg8jm46,74t7kcdgkr,8,0.06602754046336372,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",189,45,691546793e82eff0d23cf2135a73de84abc329df7489d6d2ea411787f8f5b75b,dfb867f7f622e13f4a148324d524eb9680ad5148462cb4adfed98ab9298274d6,de01d25842701178b9b02ffd346df1c7c60d91e0eb36d9fca30f5c29ae8b1a07
original,0,yfxyg8jm46,cgtnjyggtm,8,0.10668479139961272,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",185,49,799b1505c3d9a51be3c27aee0c6f8c2a95453deaa7de5444cffbcf2f9f87b89f,2384c7e3e7472fdf85aceb6be6b4b8f813681d4c57b2b3284223b5f0c293f6e0,4bf4df4bfd7b821c38470c0d6268b99837760a9a0497ef3fc3c787c529400d82
original,0,yfxyg8jm46,w68dtmpfyf,8,0.09617399647403681,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""ykhs7s2dck""]",191,43,ef76d0d6c50f98a1eaecc14a9170a3e137c0498dd796c144a224ccd5deadea2e,c34cd9f5448c22713c49bb675c717d63383a967ed8a21fe9aae4cce22b9a840a,6f6b1a9dcf27672b842dd7a728d6c11c46c6c014042c6aa73aaab342b6acfa47
