method,seed,outer_domain,selected_pca_dimension,inner_equal_domain_mae,dimension_scores_json,outer_fit_domains_json,outer_fit_sample_count,state_sha256
patch_shuffle_8x8,20260831,w68dtmpfyf,16,0.19592140589211188,"[[8,0.1996010845024128],[16,0.19592140589211188],[32,0.21710582534698392]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,609b0dc5773240b73bc206c03daccdf2c35fd1a5e274c4b85ee867a98eebeb66
patch_shuffle_8x8,20260831,xcmzfsbd9t,16,0.2240682448411428,"[[8,0.22483981478574755],[16,0.2240682448411428],[32,0.2380462717440265]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,fe03365ec8fbaa96123e370c3a7564ae362501d58d6aa6b506cd983829e36284
patch_shuffle_8x8,20260831,yfxyg8jm46,8,0.15319236949133558,"[[8,0.15319236949133558],[16,0.1596086434414997],[32,0.17332176025141915]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,058a6d161f44c793ba81602df673e3492d1d40a6d2f819077d8bb2ddd0abde36
patch_shuffle_8x8,20260831,ykhs7s2dck,32,0.11992688633344054,"[[8,0.13398368630275898],[16,0.13111069678164416],[32,0.11992688633344054]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,d93bae709e089fdad8271b199cdc74d2c276ea7c2db1764371fefb590d234c15
patch_shuffle_8x8,20260901,74t7kcdgkr,16,0.157650418798795,"[[8,0.16348557931601632],[16,0.157650418798795],[32,0.1607006700246884]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,58691ef7f04695ba368cbad0c7f07498eabd036ad6626ccf4f69b12f58ad771e
patch_shuffle_8x8,20260901,cgtnjyggtm,32,0.2163896439971663,"[[8,0.2446748133365899],[16,0.22379033589010625],[32,0.2163896439971663]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,f8128c1c25294b3cd309b716acd12bf7634ca04c644751694e7501258d668660
patch_shuffle_8x8,20260901,w68dtmpfyf,32,0.20130921228949733,"[[8,0.20246908337053043],[16,0.20220465796753867],[32,0.20130921228949733]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,51a08c9fcdb65db63dcca7efe75c6ee2ad27987c746cf55a58ec00639886292b
patch_shuffle_8x8,20260901,xcmzfsbd9t,32,0.1979045539658924,"[[8,0.21681370053439336],[16,0.21133918910034694],[32,0.1979045539658924]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,d024221632b9a50d625c36a2d8b54b20617e26a7543e27aa93219f19a879ed66
patch_shuffle_8x8,20260901,yfxyg8jm46,8,0.15047654002842925,"[[8,0.15047654002842925],[16,0.1612947210199452],[32,0.15649280176397543]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,1cfb12311b7b17b286ea8e6b6a59e86bfcacdef99139099febd47efb13426efc
patch_shuffle_8x8,20260901,ykhs7s2dck,32,0.11716825795929146,"[[8,0.12962659559086373],[16,0.12575732117706784],[32,0.11716825795929146]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,bf05126cee689b3b594383978d962f908c9e109bc4824f1a57db7d4c8b293aa7
patch_shuffle_8x8,20260902,74t7kcdgkr,8,0.1708308887493823,"[[8,0.1708308887493823],[16,0.18736077219509922],[32,0.19417936458372387]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,90267b7b3b78195b78458c9413061e58fba670489ed6a6c48b14578b14a9252f
patch_shuffle_8x8,20260902,cgtnjyggtm,32,0.2007614981627647,"[[8,0.2255501019582275],[16,0.2156175969424176],[32,0.2007614981627647]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,9f6632baf75eb16c9cd7f65f739e53cc201e2a1c3b41da7704df4b3a56f5c573
patch_shuffle_8x8,20260902,w68dtmpfyf,16,0.17489717780072014,"[[8,0.18805741661123446],[16,0.17489717780072014],[32,0.1828489941162943]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,ba2e34cbd2da822d15e11317a61065a09cabd7685d1daebda3f59db6dabe0598
patch_shuffle_8x8,20260902,xcmzfsbd9t,32,0.18868219851291962,"[[8,0.21378505224288252],[16,0.21387893216708406],[32,0.18868219851291962]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,df7342165a53091de541ef6b4537557ab45c67a80df3da7f9daf71ed4620a98c
patch_shuffle_8x8,20260902,yfxyg8jm46,16,0.1458435424842124,"[[8,0.150063692317212],[16,0.1458435424842124],[32,0.15552528059126164]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,957c4af422d5cdd793d8d11b9de92951f9c00156dfae369f6d569b29e5c6f4e2
patch_shuffle_8x8,20260902,ykhs7s2dck,32,0.1095549706285823,"[[8,0.13019557422574288],[16,0.127373744164023],[32,0.1095549706285823]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,2329b216d47d7d8454ba177f1a7a5eb8d4da55187352ec595e6b129bd5159d9d
canonical_compact,20260831,74t7kcdgkr,8,0.17076252115685214,"[[8,0.17076252115685214],[16,0.18604738109457072],[32,0.18002868746498715]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,ec79f08a9f26d1aa12c418b1cae620dbd42437bcc42db6a9d2901edf30c33eb7
canonical_compact,20260831,cgtnjyggtm,32,0.24049889137970287,"[[8,0.2443588560775769],[16,0.24784579352320724],[32,0.24049889137970287]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,bc9f24a8e7950e583467cf9aadd85043cd1855b74507c89654a1ca9e63450a25
canonical_compact,20260831,w68dtmpfyf,32,0.18570154401163436,"[[8,0.1961682700860501],[16,0.19450760906017658],[32,0.18570154401163436]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,ac6fb768f980ed5cc4d46c089a6e5c3ed718aa8d70ac51d30c93aa85ee1cf28c
canonical_compact,20260831,xcmzfsbd9t,8,0.2031865417790833,"[[8,0.2031865417790833],[16,0.20959995878562795],[32,0.22855933720764723]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,3646f258854deed1f6d88f6bf2be93918c9e6ea5942f7bae1f9bb70aa901c0e3
canonical_compact,20260831,yfxyg8jm46,16,0.14724567236591984,"[[8,0.1508389993477571],[16,0.14724567236591984],[32,0.14818209845725677]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,c4dbbdee82c3eaeb12d5fdad1674d7e38d38c406514bf067baccd7fad6e41fc0
canonical_compact,20260831,ykhs7s2dck,8,0.1219620026800432,"[[8,0.1219620026800432],[16,0.12422216704520724],[32,0.12848511752927916]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,02338fa6b3fc85f3b50c9f77132b31a812a1cf9d39d2fa14805dd9605afa5dd3
canonical_compact,20260901,74t7kcdgkr,8,0.1672217270713082,"[[8,0.1672217270713082],[16,0.18224623554807123],[32,0.1899745900917531]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,c2a84e9f9ea70a967385293f62377336f73cfa0b9c5efc51f3800af5afb83d35
canonical_compact,20260901,cgtnjyggtm,32,0.2319253046271912,"[[8,0.23315000429552205],[16,0.23961464319459908],[32,0.2319253046271912]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,ac7657ef81da0d44dc580e107827c12b3cc91c52b9b12cb886587755ea408f18
canonical_compact,20260901,w68dtmpfyf,32,0.18499548804274218,"[[8,0.1891906545587469],[16,0.18629537933419846],[32,0.18499548804274218]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,d598a9fd73bf8de81974b6d314a44cf190037de73acd249893faa325675f55b1
canonical_compact,20260901,xcmzfsbd9t,8,0.19457573570845377,"[[8,0.19457573570845377],[16,0.20173746118411068],[32,0.22417395299719983]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,df4f88cd06bdc131bb609f438260f903af9786658ac71cc8977741ecf5f4b502
canonical_compact,20260901,yfxyg8jm46,32,0.1472352762234395,"[[8,0.14731680402234287],[16,0.14857462104892544],[32,0.1472352762234395]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,b569e5af535be11302e54c9d7428eefb04158fb40906d744ef44b1d8ef5fc657
canonical_compact,20260901,ykhs7s2dck,8,0.12184452322495673,"[[8,0.12184452322495673],[16,0.12546111502855897],[32,0.13197292776737274]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,c26abf3535e2970ecc9f9ee4882cbc6437942d502231fb8ac24008098464739c
canonical_compact,20260902,74t7kcdgkr,8,0.16898867194033765,"[[8,0.16898867194033765],[16,0.1830454103806203],[32,0.17805378861658433]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,551b2e811d6bff09b9fb98387e6701910479196c77fe49dd8b4f437a3a351cfc
canonical_compact,20260902,cgtnjyggtm,32,0.2278404806049304,"[[8,0.23653518428132259],[16,0.24112314106513902],[32,0.2278404806049304]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,4412c0c1edd4670a74f17a8fd353fc0bdd843a943331fa6a43d09ac3411dfe75
canonical_compact,20260902,w68dtmpfyf,32,0.18242769168561418,"[[8,0.19055438740383684],[16,0.1923599695893005],[32,0.18242769168561418]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,49d3311797f83f04991e352a31eb4d2bf373d798a9dd9b109a07a3f458efc1aa
canonical_compact,20260902,xcmzfsbd9t,8,0.1970316607010306,"[[8,0.1970316607010306],[16,0.20968964243444593],[32,0.20970944160597912]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,b2790ee39de0de2eec85382a8d645c8081b0a4eb729bfc7988cf878edd9d1633
canonical_compact,20260902,yfxyg8jm46,16,0.13546629160696008,"[[8,0.1503497097296564],[16,0.13546629160696008],[32,0.1358458542262824]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,f0c340cf0329e0e30d11709e24bbf43384e49b03d0f08ac2cb357fce7f243fa0
canonical_compact,20260902,ykhs7s2dck,8,0.12098282491344417,"[[8,0.12098282491344417],[16,0.12209431847180849],[32,0.12833268307977858]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,9469a5e2b70030193f72ef090a658cd1961f93ae768b6334df6d4354e79430c9
patch_shuffle_4x4,20260831,74t7kcdgkr,32,0.15675373934497222,"[[8,0.16172003674155838],[16,0.15931821665663698],[32,0.15675373934497222]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,3743fe55c63858b05a40983378f3eefd4b23c6d9f9dbd387a80c91c0fbac97f6
patch_shuffle_4x4,20260831,cgtnjyggtm,32,0.1799059708846186,"[[8,0.2038823522133067],[16,0.19476276159481645],[32,0.1799059708846186]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,d95237edbf7abc52b4426f855fc7d581daa2d3cf9539ee61a4e637e58ed8916f
patch_shuffle_4x4,20260831,w68dtmpfyf,32,0.15773869542074836,"[[8,0.17579569206234402],[16,0.16401155103461393],[32,0.15773869542074836]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,2d76d5848e99adcab1de9a56255b369d103cd5d7ae30c97a85240a132b2c9423
patch_shuffle_4x4,20260831,xcmzfsbd9t,32,0.16741757653958583,"[[8,0.19108720917093588],[16,0.19015495416083208],[32,0.16741757653958583]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,9ea70558423d6c8565887e52bf58b9f62129409930d439db13bffe9c4a706292
patch_shuffle_4x4,20260831,yfxyg8jm46,32,0.14406498242608232,"[[8,0.14606022795491788],[16,0.1489832220096731],[32,0.14406498242608232]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,cf2f3666cf93cd02912c741be23421919ec8eefb42e7c8b7de84c780d4cff4c7
patch_shuffle_4x4,20260831,ykhs7s2dck,16,0.11030278285567623,"[[8,0.11338593049481435],[16,0.11030278285567623],[32,0.11156079186497073]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,10ee18ac07db1b6242a8d9e64e86fad1179c5bf53b29b592464a47f7e71ab5ae
patch_shuffle_4x4,20260901,74t7kcdgkr,32,0.14355555421249852,"[[8,0.1737137296334021],[16,0.162337090628426],[32,0.14355555421249852]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,a0db8a1afc10b627498cbf4108946b196b7b4a006905b9bee8579cd1ef7769a4
patch_shuffle_4x4,20260901,cgtnjyggtm,32,0.1889705498778082,"[[8,0.21021195471286505],[16,0.20484869532438124],[32,0.1889705498778082]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,c757c7077c885320a285dabcc02c4bbdd3a59d207dca4a6b4d693d44f4eb4e6e
patch_shuffle_4x4,20260901,w68dtmpfyf,32,0.1404157877614558,"[[8,0.16751068798152188],[16,0.15425224632741788],[32,0.1404157877614558]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,0a48f89de8a111b762a89e6a22ff8723d0914507193efb6c5c4340c6904696b6
patch_shuffle_4x4,20260901,xcmzfsbd9t,32,0.15354105032987647,"[[8,0.18414400179512103],[16,0.17587650710314826],[32,0.15354105032987647]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,feac48261650b7426725b1e0347154d3f6a7112d02f2b6d8ffca9aa68e7984f5
patch_shuffle_4x4,20260901,yfxyg8jm46,32,0.11745131583474244,"[[8,0.14545819462661505],[16,0.13162765131843832],[32,0.11745131583474244]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,fe7af8203659e26ebb16c9cf05975e4aab49678c8e342675327b2e5fde92a070
patch_shuffle_4x4,20260901,ykhs7s2dck,32,0.1149952742934955,"[[8,0.12900493868950558],[16,0.11920671348561807],[32,0.1149952742934955]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,b753bd49dbe919fcfe54d4e8694d3b7edf31aaca2488415ebe1023e7ac3252c2
patch_shuffle_4x4,20260902,74t7kcdgkr,8,0.1624321333699188,"[[8,0.1624321333699188],[16,0.1802783542013383],[32,0.18899558767433708]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,47843332af7c8b3d4d257be534b69539f559b09df5611e4cb447893018d403ea
patch_shuffle_4x4,20260902,cgtnjyggtm,32,0.19341312096493032,"[[8,0.21503581919502723],[16,0.20217556545175824],[32,0.19341312096493032]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,89dc71ea3dd16c479fded006642c541afc1d4b2e9d337b0979338e597f8ddeac
patch_shuffle_4x4,20260902,w68dtmpfyf,16,0.1812406004881802,"[[8,0.18448131179675628],[16,0.1812406004881802],[32,0.18319164186360512]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,e802702ba07a7cd485213e912921581410541df56dbff05cbc4ec5dcf473078e
patch_shuffle_4x4,20260902,xcmzfsbd9t,32,0.18658984943028287,"[[8,0.194596637318755],[16,0.18931805447957753],[32,0.18658984943028287]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,eea6ea18da5d6fd6783cc59a4820acb1486ff8e5fc4bbfc394a12129e244dc0f
