specimen_key,dataset_id,capture_group_id,method,run,seed_panel,training_seed,checkpoint_update,actor_state_dict_sha256,source_row,source,states,action_count,final_cost,native_pixels,target_mpa
74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,52,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.25,118976,264.1634521484375
74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,53,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.2492690567351201,114920,163.86158752441406
74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,54,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,263.10400390625
74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,55,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,282.8260803222656
74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,56,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.25,118976,213.09927368164062
74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,57,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,168.51828002929688
74t7kcdgkr:c8-43,74t7kcdgkr,cg_a37dc8a00cc334eb,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,58,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,199.83413696289062
cgtnjyggtm:q24-11,cgtnjyggtm,cg_02fd3fc8caefe377,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,59,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,300.3553771972656
cgtnjyggtm:q24-22,cgtnjyggtm,cg_54890e18ff2b2669,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,60,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,415.8692932128906
cgtnjyggtm:q24-24,cgtnjyggtm,cg_39bf4ddc679c9a42,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,61,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,428.6219482421875
