comparator,specimen_key,dataset_id,capture_group_id,area_gain,early_area_gain
SERPENTINE,cgtnjyggtm:q24-6,cgtnjyggtm,cg_344fc945dcb88757,13.883140758057849,8.942930097620831
SERPENTINE,cgtnjyggtm:q24-9,cgtnjyggtm,cg_2cc9cac1c5baaf14,38.36412069798406,35.007455051119
SERPENTINE,w68dtmpfyf:q16-14,w68dtmpfyf,cg_73ef27ab04a735de,5.805786366649791,-6.898123922980041
SERPENTINE,w68dtmpfyf:q16-2,w68dtmpfyf,cg_ff2d01cab2de3ddc,8.950181614705684,23.550496841465886
SERPENTINE,w68dtmpfyf:q16-29,w68dtmpfyf,cg_94a031a5fc453cba,-11.375448090079221,0.3870000836340628
SERPENTINE,w68dtmpfyf:q16-3,w68dtmpfyf,cg_3361913654df8b27,31.607093562608203,4.3467170716841395
SERPENTINE,w68dtmpfyf:q16-33,w68dtmpfyf,cg_a37eab4f5b7beb12,7.197330300397881,9.83966531081283
SERPENTINE,w68dtmpfyf:q16-38,w68dtmpfyf,cg_a052ba6f5200ee4f,-2.9585864833350115,-5.922749863802849
SERPENTINE,w68dtmpfyf:q16-43,w68dtmpfyf,cg_6853c8e74a68016b,-12.242535494301189,-6.939014223666625
SERPENTINE,w68dtmpfyf:q16-6,w68dtmpfyf,cg_ce4d6a48a6968060,-9.424718112427783,6.4913482402395175
SERPENTINE,xcmzfsbd9t:c24-37,xcmzfsbd9t,cg_a01963fde121eda0,-3.2952283793473924,-10.957618204551366
SERPENTINE,xcmzfsbd9t:c24-39,xcmzfsbd9t,cg_d72ecf3171227da2,8.833228268479239,5.293159199811191
SERPENTINE,xcmzfsbd9t:c24-42,xcmzfsbd9t,cg_a5c5defb812088ae,-1.6738058546472754,-4.397091581229525
SERPENTINE,xcmzfsbd9t:c24-47,xcmzfsbd9t,cg_954e3ed61c8db0a4,1.1983140280053028,10.454840357950562
SERPENTINE,xcmzfsbd9t:c24-50,xcmzfsbd9t,cg_59e95410b683945f,-0.198006777337298,3.3866475368843183
