comparator,budget,specimen_key,dataset_id,capture_group_id,main_abs_error,control_abs_error,gain_mpa
CENTER_FIRST,0.0625,cgtnjyggtm:q24-44,cgtnjyggtm,cg_9ba3cd5fb00ea91f,66.70721435546875,52.85841369628906,-13.848800659179688
CENTER_FIRST,0.0625,cgtnjyggtm:q24-47,cgtnjyggtm,cg_523711040788bde2,41.07362365722656,51.73442077636719,10.660797119140625
CENTER_FIRST,0.0625,cgtnjyggtm:q24-48,cgtnjyggtm,cg_5549ad4618fa66a9,119.04994201660156,128.1053924560547,9.055450439453125
CENTER_FIRST,0.0625,cgtnjyggtm:q24-6,cgtnjyggtm,cg_344fc945dcb88757,28.9324951171875,45.3795166015625,16.447021484375
CENTER_FIRST,0.0625,cgtnjyggtm:q24-9,cgtnjyggtm,cg_2cc9cac1c5baaf14,15.946151733398438,16.123672485351562,0.177520751953125
CENTER_FIRST,0.0625,w68dtmpfyf:q16-14,w68dtmpfyf,cg_73ef27ab04a735de,57.779632568359375,41.90386962890625,-15.875762939453125
CENTER_FIRST,0.0625,w68dtmpfyf:q16-2,w68dtmpfyf,cg_ff2d01cab2de3ddc,74.18682861328125,66.17803955078125,-8.0087890625
CENTER_FIRST,0.0625,w68dtmpfyf:q16-29,w68dtmpfyf,cg_94a031a5fc453cba,9.9427490234375,12.403656005859375,2.460906982421875
CENTER_FIRST,0.0625,w68dtmpfyf:q16-3,w68dtmpfyf,cg_3361913654df8b27,41.28497314453125,10.209320068359375,-31.075653076171875
CENTER_FIRST,0.0625,w68dtmpfyf:q16-33,w68dtmpfyf,cg_a37eab4f5b7beb12,0.488494873046875,0.919586181640625,0.43109130859375
CENTER_FIRST,0.0625,w68dtmpfyf:q16-38,w68dtmpfyf,cg_a052ba6f5200ee4f,74.88876342773438,18.391693115234375,-56.4970703125
CENTER_FIRST,0.0625,w68dtmpfyf:q16-43,w68dtmpfyf,cg_6853c8e74a68016b,22.800323486328125,28.3896484375,5.589324951171875
CENTER_FIRST,0.0625,w68dtmpfyf:q16-6,w68dtmpfyf,cg_ce4d6a48a6968060,103.8687744140625,104.31356811523438,0.444793701171875
CENTER_FIRST,0.0625,xcmzfsbd9t:c24-37,xcmzfsbd9t,cg_a01963fde121eda0,83.18170166015625,146.23138427734375,63.0496826171875
CENTER_FIRST,0.0625,xcmzfsbd9t:c24-39,xcmzfsbd9t,cg_d72ecf3171227da2,17.121200561523438,17.121200561523438,0.0
CENTER_FIRST,0.0625,xcmzfsbd9t:c24-42,xcmzfsbd9t,cg_a5c5defb812088ae,2.9627685546875,7.853240966796875,4.890472412109375
CENTER_FIRST,0.0625,xcmzfsbd9t:c24-47,xcmzfsbd9t,cg_954e3ed61c8db0a4,20.708740234375,22.658538818359375,1.949798583984375
CENTER_FIRST,0.0625,xcmzfsbd9t:c24-50,xcmzfsbd9t,cg_59e95410b683945f,56.59381103515625,56.59381103515625,0.0
CENTER_FIRST,0.0625,xcmzfsbd9t:c24-51,xcmzfsbd9t,cg_7e1c8f7865d73e78,26.339141845703125,45.0947265625,18.755584716796875
CENTER_FIRST,0.0625,xcmzfsbd9t:c24-52,xcmzfsbd9t,cg_b98b3f9ca1bfb997,131.10728454589844,112.11967468261719,-18.98760986328125
CENTER_FIRST,0.0625,xcmzfsbd9t:c24-56,xcmzfsbd9t,cg_06ec34425b30c2e6,38.58302307128906,38.91746520996094,0.334442138671875
CENTER_FIRST,0.0625,xcmzfsbd9t:c24-9t,xcmzfsbd9t,cg_0d1994d0164384d4,47.72694396972656,47.72694396972656,0.0
CENTER_FIRST,0.0625,yfxyg8jm46:c16-12,yfxyg8jm46,cg_5a80e5179694ff19,23.262985229492188,20.334625244140625,-2.9283599853515625
CENTER_FIRST,0.0625,yfxyg8jm46:c16-14,yfxyg8jm46,cg_efd8928c6d17de81,42.9398193359375,42.9398193359375,0.0
CENTER_FIRST,0.0625,yfxyg8jm46:c16-16,yfxyg8jm46,cg_cd055af98e2ea119,87.28692626953125,87.28692626953125,0.0
CENTER_FIRST,0.0625,yfxyg8jm46:c16-17,yfxyg8jm46,cg_f64812b6759e7d2b,20.4161376953125,20.4161376953125,0.0
CENTER_FIRST,0.0625,yfxyg8jm46:c16-24,yfxyg8jm46,cg_354aea2e84731e86,129.2884521484375,149.77117919921875,20.48272705078125
CENTER_FIRST,0.0625,yfxyg8jm46:c16-39,yfxyg8jm46,cg_514ca9d914207c05,7.000640869140625,7.49755859375,0.496917724609375
CENTER_FIRST,0.0625,yfxyg8jm46:c16-42,yfxyg8jm46,cg_cb9c6f640f08aee7,71.16673278808594,71.16673278808594,0.0
CENTER_FIRST,0.0625,yfxyg8jm46:c16-5,yfxyg8jm46,cg_7f9fe4a18a151cd4,10.24249267578125,10.24249267578125,0.0
CENTER_FIRST,0.0625,ykhs7s2dck:q8-15,ykhs7s2dck,cg_60c6812942ba2332,20.0291748046875,39.445281982421875,19.416107177734375
CENTER_FIRST,0.0625,ykhs7s2dck:q8-2,ykhs7s2dck,cg_93e604617899fa5f,1.47808837890625,22.410247802734375,20.932159423828125
CENTER_FIRST,0.0625,ykhs7s2dck:q8-22,ykhs7s2dck,cg_ca08b9786e924e66,44.833648681640625,10.415878295898438,-34.41777038574219
CENTER_FIRST,0.0625,ykhs7s2dck:q8-33,ykhs7s2dck,cg_a841812423416444,18.495285034179688,12.404922485351562,-6.090362548828125
CENTER_FIRST,0.0625,ykhs7s2dck:q8-34,ykhs7s2dck,cg_f28b9720dbc7e026,8.1123046875,3.9492950439453125,-4.1630096435546875
CENTER_FIRST,0.0625,ykhs7s2dck:q8-37,ykhs7s2dck,cg_a064df3d047f4519,28.024139404296875,61.328582763671875,33.304443359375
CENTER_FIRST,0.0625,ykhs7s2dck:q8-8,ykhs7s2dck,cg_8fd87d72a8d71b83,42.52360534667969,37.745208740234375,-4.7783966064453125
CENTER_FIRST,0.125,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,10.382308959960938,10.092330932617188,-0.28997802734375
CENTER_FIRST,0.125,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,106.76278686523438,134.66217041015625,27.899383544921875
CENTER_FIRST,0.125,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,4.406219482421875,17.486114501953125,13.07989501953125
CENTER_FIRST,0.125,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,41.68244934082031,44.82496643066406,3.14251708984375
CENTER_FIRST,0.125,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,27.979751586914062,31.125762939453125,3.1460113525390625
CENTER_FIRST,0.125,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,34.272003173828125,39.6180419921875,5.346038818359375
CENTER_FIRST,0.125,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,9.516006469726562,17.86859130859375,8.352584838867188
CENTER_FIRST,0.125,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,63.33494567871094,64.10049438476562,0.7655487060546875
CENTER_FIRST,0.125,74t7kcdgkr:c8-43,74t7kcdgkr,cg_a37dc8a00cc334eb,27.839004516601562,39.29119873046875,11.452194213867188
CENTER_FIRST,0.125,cgtnjyggtm:q24-11,cgtnjyggtm,cg_02fd3fc8caefe377,13.62493896484375,0.587738037109375,-13.037200927734375
CENTER_FIRST,0.125,cgtnjyggtm:q24-22,cgtnjyggtm,cg_54890e18ff2b2669,138.20547485351562,142.1890869140625,3.983612060546875
CENTER_FIRST,0.125,cgtnjyggtm:q24-24,cgtnjyggtm,cg_39bf4ddc679c9a42,160.28125,179.24493408203125,18.96368408203125
CENTER_FIRST,0.125,cgtnjyggtm:q24-30,cgtnjyggtm,cg_d3f7feef05d5a66a,15.354705810546875,20.563629150390625,5.20892333984375
CENTER_FIRST,0.125,cgtnjyggtm:q24-44,cgtnjyggtm,cg_9ba3cd5fb00ea91f,47.897674560546875,54.67735290527344,6.7796783447265625
CENTER_FIRST,0.125,cgtnjyggtm:q24-47,cgtnjyggtm,cg_523711040788bde2,38.20185852050781,44.33341979980469,6.131561279296875
CENTER_FIRST,0.125,cgtnjyggtm:q24-48,cgtnjyggtm,cg_5549ad4618fa66a9,108.76132202148438,123.41209411621094,14.650772094726562
CENTER_FIRST,0.125,cgtnjyggtm:q24-6,cgtnjyggtm,cg_344fc945dcb88757,35.264129638671875,65.7830810546875,30.518951416015625
